# Time          7.0000E+00
# Units: Log10 mol/kgw
    Distance      pH               H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-              Al(OH)2+         AlO2-            AlOH++           HCO3-            H2SiO4--         HAlO2(aq)        HCl(aq)          HSiO3-           KCl(aq)          KOH(aq)          NaAlO2(aq)       NaCl(aq)         NaHSiO3(aq)      NaOH(aq)         OH-              CO3--            NaCO3-           NaHCO3(aq)   
    5.0000000E-02    5.5154562E+00   -5.5095933E+00   -4.5998165E+00   -5.1719837E+00   -4.5755451E+00   -4.9464380E+00   -7.4762710E+00   -1.6123755E+01   -7.2711501E+00   -7.5477125E+00   -8.6430773E+00   -4.7776996E+00   -3.3413837E+00   -3.6072704E+00   -4.2057026E+00   -8.1774686E+00   -1.0383989E+01   -7.4925466E+00   -4.3119386E+00   -1.6682843E+01   -9.0246158E+00   -9.0509807E+00   -9.4730088E+00   -1.1040988E+01   -1.4122544E+01   -1.5825915E+01   -9.6394782E+00   -1.2262069E+01   -1.4486232E+01   -9.1246055E+00   -9.3004039E+00   -1.3197773E+01   -8.6151528E+00
    1.5000000E-01    5.5413549E+00   -5.5365137E+00   -4.7739161E+00   -5.3407346E+00   -4.7552874E+00   -5.1205875E+00   -7.4106637E+00   -1.6304165E+01   -7.0478394E+00   -7.7153856E+00   -8.8115629E+00   -4.9287984E+00   -3.5242575E+00   -3.7876810E+00   -4.3861123E+00   -8.0519120E+00   -1.0206635E+01   -7.3960551E+00   -4.4699773E+00   -1.6786389E+01   -8.8720970E+00   -9.2562180E+00   -9.5992724E+00   -1.1388011E+01   -1.4264325E+01   -1.5820539E+01   -9.9918578E+00   -1.2560310E+01   -1.4633369E+01   -9.0997693E+00   -9.4357103E+00   -1.3502954E+01   -8.9451690E+00
    2.5000000E-01    5.5677366E+00   -5.5635275E+00   -4.9003251E+00   -5.4607015E+00   -4.8886774E+00   -5.2470438E+00   -7.3943813E+00   -1.6438397E+01   -6.9355951E+00   -7.8352742E+00   -8.9323233E+00   -5.0289681E+00   -3.6611781E+00   -3.9219125E+00   -4.5203432E+00   -7.9778204E+00   -1.0079780E+01   -7.3502943E+00   -4.5811701E+00   -1.6836407E+01   -8.7709699E+00   -9.4161728E+00   -9.6737143E+00   -1.1640896E+01   -1.4357252E+01   -1.5818787E+01   -1.0251188E+01   -1.2759856E+01   -1.4732743E+01   -9.0740409E+00   -9.5224705E+00   -1.3713522E+01   -9.1814655E+00
    3.5000000E-01    5.5778651E+00   -5.5737518E+00   -4.9196483E+00   -5.4759589E+00   -4.9125256E+00   -5.2663896E+00   -7.4213269E+00   -1.6462799E+01   -6.8508108E+00   -7.8543095E+00   -8.9519388E+00   -5.0331704E+00   -3.6866680E+00   -3.9463148E+00   -4.5447453E+00   -7.9837442E+00   -1.0065446E+01   -7.3666413E+00   -4.5966303E+00   -1.6820747E+01   -8.7666663E+00   -9.4506040E+00   -9.6678870E+00   -1.1680357E+01   -1.4362282E+01   -1.5823580E+01   -1.0294716E+01   -1.2773154E+01   -1.4741839E+01   -9.0640112E+00   -9.5280970E+00   -1.3738079E+01   -9.2160516E+00
    4.5000000E-01    5.5748823E+00   -5.5705539E+00   -4.8717105E+00   -5.4266587E+00   -4.8661317E+00   -5.2184526E+00   -7.4629768E+00   -1.6416596E+01   -6.7724600E+00   -7.8099770E+00   -8.9078635E+00   -4.9810538E+00   -3.6401636E+00   -3.9001119E+00   -4.4985425E+00   -8.0330766E+00   -1.0120744E+01   -7.4123291E+00   -4.5528867E+00   -1.6773709E+01   -8.8192035E+00   -9.4016416E+00   -9.6185312E+00   -1.1585300E+01   -1.4316188E+01   -1.5831383E+01   -1.0201020E+01   -1.2676304E+01   -1.4697106E+01   -9.0667722E+00   -9.4866743E+00   -1.3649601E+01   -9.1248134E+00
    5.5000000E-01    5.5707846E+00   -5.5661919E+00   -4.8164257E+00   -5.3704641E+00   -4.8118861E+00   -5.1631652E+00   -7.5066809E+00   -1.6362480E+01   -6.6978427E+00   -7.7579314E+00   -8.8559897E+00   -4.9231641E+00   -3.5856322E+00   -3.8459953E+00   -4.4444261E+00   -8.0870861E+00   -1.0182949E+01   -7.4614261E+00   -4.5021797E+00   -1.6722924E+01   -8.8775840E+00   -9.3437024E+00   -9.5644659E+00   -1.1475538E+01   -1.4264366E+01   -1.5838849E+01   -1.0092166E+01   -1.2567499E+01   -1.4646192E+01   -9.0705968E+00   -9.4392502E+00   -1.3547980E+01   -9.0193671E+00
    6.5000000E-01    5.5700622E+00   -5.5652759E+00   -4.7775664E+00   -5.3300952E+00   -4.7747566E+00   -5.1243072E+00   -7.5470264E+00   -1.6325566E+01   -6.6287834E+00   -7.7210480E+00   -8.8193178E+00   -4.8792749E+00   -3.5486618E+00   -3.8090812E+00   -4.4075121E+00   -8.1304211E+00   -1.0227729E+01   -7.5034414E+00   -4.4657314E+00   -1.6679679E+01   -8.9218418E+00   -9.3062677E+00   -9.5210987E+00   -1.1398657E+01   -1.4224921E+01   -1.5845169E+01   -1.0016794E+01   -1.2485673E+01   -1.4608255E+01   -9.0711190E+00   -9.4029270E+00   -1.3473594E+01   -8.9444595E+00
    7.5000000E-01    5.5722200E+00   -5.5673140E+00   -4.7537239E+00   -5.3041658E+00   -4.7533275E+00   -5.1004698E+00   -7.5837386E+00   -1.6304438E+01   -6.5662620E+00   -7.6983459E+00   -8.7968750E+00   -4.8482067E+00   -3.5277816E+00   -3.7879539E+00   -4.3863849E+00   -8.1637738E+00   -1.0256766E+01   -7.5385817E+00   -4.4425690E+00   -1.6643799E+01   -8.9531609E+00   -9.2874234E+00   -9.4877484E+00   -1.1351850E+01   -1.4196959E+01   -1.5850612E+01   -9.9720728E+00   -1.2428728E+01   -1.4582379E+01   -9.0688370E+00   -9.3772366E+00   -1.3424555E+01   -8.8977027E+00
    8.5000000E-01    5.5751514E+00   -5.5701463E+00   -4.7342298E+00   -5.2824868E+00   -4.7363899E+00   -5.0809806E+00   -7.6189032E+00   -1.6287822E+01   -6.5094375E+00   -7.6796809E+00   -8.7784722E+00   -4.8211569E+00   -3.5114959E+00   -3.7713380E+00   -4.3697690E+00   -8.1938662E+00   -1.0280996E+01   -7.5712993E+00   -4.4232493E+00   -1.6610476E+01   -8.9804248E+00   -9.2738423E+00   -9.4576645E+00   -1.1313762E+01   -1.4172452E+01   -1.5855553E+01   -9.9361686E+00   -1.2379355E+01   -1.4560057E+01   -9.0658030E+00   -9.3546794E+00   -1.3382912E+01   -8.8590940E+00
    9.5000000E-01    5.5767943E+00   -5.5716546E+00   -4.7089424E+00   -5.2554665E+00   -4.7131543E+00   -5.0556944E+00   -7.6540575E+00   -1.6264847E+01   -6.4564558E+00   -7.6552374E+00   -8.7542395E+00   -4.7899722E+00   -3.4887154E+00   -3.7483624E+00   -4.3467934E+00   -8.2268094E+00   -1.0310653E+01   -7.6054687E+00   -4.3986858E+00   -1.6575447E+01   -9.0118649E+00   -9.2526505E+00   -9.4246969E+00   -1.1264047E+01   -1.4143930E+01   -1.5860202E+01   -9.8881857E+00   -1.2321379E+01   -1.4533266E+01   -9.0640202E+00   -9.3280562E+00   -1.3331558E+01   -8.8095223E+00
